,date,lat,long,daysSince1985,economic_loss,total_affected,duration,event_type,CAMEOCode,Index,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
3477,"Sunday, February 12, 2006",13.33226776,80.19892883,7712,20305.18352,,1,-1,,4067,,,1,20305.18352,,,,24,10,0.0,0.0,,24.0
3478,"Sunday, February 12, 2006",11.3379488,78.82061005,7712,20305.18352,,1,-1,,4069,,,1,20305.18352,,,,25,10,0.0,0.0,,22.0
3479,"Tuesday, February 14, 2006",13.08019447,80.05047607,7714,20305.18352,,1,-1,,4074,,,1,20305.18352,,,,24,10,0.0,0.0,,22.0
3480,"Wednesday, February 15, 2006",10.95770645,78.27510834,7715,20305.18352,,1,-1,,4075,,,1,20305.18352,,,,25,10,0.0,0.0,,21.0
3481,"Wednesday, February 15, 2006",13.17908287,79.61205292,7715,20305.18352,,1,-1,,4077,,,1,20305.18352,,,,24,10,0.0,0.0,,21.0
3482,"Wednesday, February 15, 2006",13.17908287,79.61205292,7715,20305.18352,,1,-1,,4078,,,1,20305.18352,,,,24,10,0.0,0.0,,21.0
3483,"Wednesday, February 15, 2006",13.17908287,79.61205292,7715,20305.18352,,1,-1,,4080,,,1,20305.18352,,,,24,10,0.0,0.0,,21.0
3484,"Thursday, February 16, 2006",13.33226776,80.19892883,7716,20305.18352,,1,-1,,4081,,,1,20305.18352,,,,24,9,0.0,0.0,,20.0
3485,"Thursday, February 16, 2006",11.2341,78.8805,7716,20305.18352,,1,-1,,4083,,,1,20305.18352,,,,1,0,,,,
3486,"Thursday, February 16, 2006",11.29443645,76.93977356,7716,20305.18352,,1,-1,,4088,,,1,20305.18352,,,,1,0,,,,
3487,"Monday, February 20, 2006",11.03176,77.02951,7720,20305.18352,,1,-1,,4100,,,1,20305.18352,,,,25,9,0.0,0.0,,16.0
3488,"Tuesday, February 21, 2006",9.767000198,78.73300171,7721,20305.18352,,1,-1,,4105,,,1,20305.18352,,,,1,0,,,,
3489,"Thursday, February 23, 2006",11.01601,76.97031,7723,20305.18352,,1,-1,,4112,,,1,20305.18352,,,,1,0,,,,
3490,"Friday, February 24, 2006",12.41011,79.89029,7724,20305.18352,,1,-1,,4116,,,1,20305.18352,,,,24,8,0.0,0.0,,12.0
3491,"Friday, February 24, 2006",13.33226776,80.19892883,7724,20305.18352,,1,-1,,4117,,,1,20305.18352,,,,24,8,0.0,0.0,,12.0
