,State,District,Block,latLong
134, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
135, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
136, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
137, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
138, Tamil Nadu,DHARMAPURI,DHARMAPURI,"[12.125699996948242, 78.154296875]"
139, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
140, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
141, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
142, Tamil Nadu,KANCHIPURAM,THAMBARAM,"[12.89161, 80.06687]"
143, Tamil Nadu,KANCHIPURAM,THAMBARAM,"[12.89161, 80.06687]"
144, Tamil Nadu,KANCHIPURAM,THAMBARAM,"[12.89161, 80.06687]"
145, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
146, Tamil Nadu,TRICHIRAPPALLI,TRICHIRAPPALLI,"[10.790761947631836, 78.70453643798828]"
147, Tamil Nadu,NAMAKKAL,NAMAKKAL,"[11.21878, 78.16798]"
148, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
149, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
150, Tamil Nadu,NAGAPPATTINAM,NAGAPATTINAM,"[10.773176193237305, 79.84144592285156]"
151, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
152, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
153, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
154, Tamil Nadu,DHARMAPURI,DHARMAPURI,"[12.125699996948242, 78.154296875]"
155, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
156, Tamil Nadu,TIRUNELVELI,TIRUNELVELI,"[8.80447006225586, 78.14324188232422]"
157, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
158, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
159, Tamil Nadu,VIRUTHUNAGAR,VIRUDHUNAGER,"[9.593749046325684, 77.9574966430664]"
160, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
161, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
162, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
163, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
164, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
165, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
166, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
167, Tamil Nadu,THENI,THENI,"[10.011940002441406, 77.47860717773438]"
168, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
169, Tamil Nadu,THIRUVARUR,THIRUVARUR,"[10.76508, 79.63356]"
170, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
171, Tamil Nadu,ERODE,ERODE,"[10.7221097946167, 77.51921081542969]"
172, Tamil Nadu,TIRUNELVELI,TIRUNELVELI,"[8.80447006225586, 78.14324188232422]"
173, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
174, Tamil Nadu,TRICHIRAPPALLI,TRICHIRAPPALLI,"[10.790761947631836, 78.70453643798828]"
175, Tamil Nadu,ERODE,ERODE,"[10.7221097946167, 77.51921081542969]"
176, Tamil Nadu,MADURAI,MADURAI SOUTH,"[9.83695125579834, 78.09326171875]"
177, Tamil Nadu,COIMBATORE,TIRUPPUR,"[11.20293, 77.33126]"
178, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
179, Tamil Nadu,MADURAI,MADURAI SOUTH,"[9.83695125579834, 78.09326171875]"
180, Tamil Nadu,COIMBATORE,TIRUPPUR,"[11.20293, 77.33126]"
181, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
182, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
183, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
184, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
185, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
186, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
187, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
188, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
189, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
190, Tamil Nadu,PUDUKKOTTAI,PUDUKKOTTAI,"[10.3829, 78.8155]"
191, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
192, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
193, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
194, Tamil Nadu,ERODE,ERODE,"[10.7221097946167, 77.51921081542969]"
195, Tamil Nadu,ERODE,ERODE,"[10.7221097946167, 77.51921081542969]"
196, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
197, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
198, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
199, Tamil Nadu,NAGAPPATTINAM,NAGAPATTINAM,"[10.773176193237305, 79.84144592285156]"
200, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
201, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
202, Tamil Nadu,TRICHIRAPPALLI,TRICHIRAPPALLI,"[10.790761947631836, 78.70453643798828]"
203, Tamil Nadu,DINDUGAL,DINDIGUL,"[9.921903610229492, 78.12326049804688]"
204, Tamil Nadu,VELLORE,GUDIYATHAM,"[12.939720153808594, 78.8644027709961]"
205, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
206, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
207, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
208, Tamil Nadu,NILGIRI,UDHAGAMANDALAM,"[11.411314964294434, 76.69270324707031]"
209, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
