,State,District,Block,latLong
16691,Uttarakhand,Chamoli,Pokhri,"[30.344329833984375, 79.19981384277344]"
16695,Uttarakhand,Chamoli,Dasholi,"[30.4036, 79.3309]"
16700,Uttarakhand,Garhwal,Pauri,"[30.148500442504883, 78.77449798583984]"
16702,Uttarakhand,Garhwal,,"[29.836212158203125, 78.6868667602539]"
16704,Uttarakhand,Garhwal,Thalisain,"[30.25, 79.33300018310547]"
16705,Uttarakhand,Hardwar,Roorkee,"[30.06041, 78.28949]"
16709,Uttarakhand,Hardwar,Laksar,"[29.752199172973633, 78.02020263671875]"
16712,Uttarakhand,Hardwar,Bahadrabad,"[29.959999084472656, 78.16000366210938]"
16715,Uttarakhand,Dehradun,Sahaspur,"[30.11745, 78.29801]"
16718,Uttarakhand,Dehradun,,"[30.11745, 78.29801]"
16740,Uttarakhand,Nainital,Dhari,"[29.33079719543457, 79.7459487915039]"
16744,Uttarakhand,Udham Singh Nagar,Jaspur,"[29.2811, 78.8242]"
16745,Uttarakhand,Udham Singh Nagar,Sitarganj,"[28.927900314331055, 79.70249938964844]"
16746,Uttarakhand,Udham Singh Nagar,,"[28.9516658782959, 79.44449615478516]"
16759,Uttarakhand,Pithoragarh,,"[29.5837, 80.2153]"
16786,Uttarakhand,Champawat,Barkot,"[29.46766, 80.07127]"
16787,Uttarakhand,Champawat,Lohaghat,"[29.40329933166504, 80.08789825439453]"
16793,Uttarakhand,Champawat,,"[29.3354, 80.0909]"
16802,Uttarakhand,Bageshwar,,"[29.8383, 79.7739]"
16836,Uttarakhand,Almora,Syaldeh,"[29.82478141784668, 79.17285919189453]"
16849,Uttarakhand,Almora,Hawalbag,"[29.648286819458008, 79.62796783447266]"
16907,Uttarakhand,Tehri Garhwal,Jakhinidhar,"[30.314844131469727, 78.55413055419922]"
16910,Uttarakhand,Garhwal,Kot,"[30.1485, 78.7745]"
16945,Uttarakhand,Dehradun,Doiwala,"[30.175899505615234, 78.12239837646484]"
16953,Uttarakhand,Udham Singh Nagar,Bajpur,"[29.158000946044922, 79.14759826660156]"
16954,Uttarakhand,Udham Singh Nagar,Gadarpur,"[29.045299530029297, 79.24469757080078]"
16955,Uttarakhand,Udham Singh Nagar,Kasipur,"[29.20395, 78.95969]"
16956,Uttarakhand,Udham Singh Nagar,Khatima,"[28.922800064086914, 79.96900177001953]"
16961,Uttarakhand,Udham Singh Nagar,Rudrapur,"[28.977800369262695, 79.40170288085938]"
17095,Uttarakhand,Rudraprayag,Agustmuni,"[30.28876, 78.97772]"
17109,Uttarakhand,Chamoli,Gairsain,"[30.04319190979004, 79.30979919433594]"
17130,Uttarakhand,Nainital,Bhimtal,"[29.35849952697754, 79.54840087890625]"
17159,Uttarakhand,Champawat,Pati,"[29.39272117614746, 79.97557067871094]"
17280,Uttarakhand,Garhwal,Lansdowne,"[29.836212158203125, 78.6868667602539]"
17295,Uttarakhand,Nainital,Haldwani,"[29.219999313354492, 79.5199966430664]"
17320,Uttarakhand,Pithoragarh,Munakot,"[29.5837, 80.2153]"
17508,Uttarakhand,Almora,Bhisiyachana,"[29.59235, 79.65585]"
17596,Uttarakhand,Garhwal,Bironkhal,"[30.1485, 78.7745]"
17609,Uttarakhand,Garhwal,Rikhnikhal,"[29.80786, 78.75472]"
17634,Uttarakhand,Garhwal,Yamkeshwar,"[30.25, 79.33300018310547]"
17638,Uttarakhand,Garhwal,Pabo,"[30.1485, 78.7745]"
17848,Uttarakhand,Uttarkashi,Naugarh,"[30.93368, 78.53588]"
17866,Uttarakhand,Garhwal,Khirsu,"[30.1485, 78.7745]"
17885,Uttarakhand,Nainital,Ramnagar,"[29.34161949157715, 79.05352020263672]"
19689,Uttarakhand,Nainital,Ramgarh,"[29.450000762939453, 79.55000305175781]"
19783,Uttarakhand,Tehri Garhwal,Jaunpur,"[30.3754, 78.4339]"
20112,Orissa,Sonepur,Tarva,"[20.8475, 83.894]"
20113,Orissa,Mayurbhanj,Baripada,"[21.928937911987305, 86.7624282836914]"
20114,Orissa,Kandhamal,Chakapad,"[20.2873477935791, 84.4786148071289]"
20115,Orissa,Deogarh,Riamal,"[21.3617, 84.65886]"
20116,Orissa,Boudh,Boudh,"[20.844446182250977, 84.30723571777344]"
20117,Orissa,Balasore,Remuna,"[21.522600173950195, 86.8729019165039]"
20118,Orissa,Balasore,Baleshwar,"[21.5031795501709, 87.10771942138672]"
20119,Orissa,Jajpur,Barchana,"[20.849899291992188, 86.33719635009766]"
20120,Orissa,Jajpur,Jajpur,"[20.8499, 86.3372]"
20121,Orissa,Koraput,Koraput,"[18.8132, 82.7126]"
20122,Orissa,Sundargarh,,"[22.1198, 84.0374]"
20123,Orissa,Koraput,,"[18.8132, 82.7126]"
20124,Orissa,Nayagarh,,"[20.1269, 85.1047]"
20125,Orissa,Kandhamal,,"[20.12906, 84.04595]"
20126,Orissa,Kalahandi,,"[19.87989, 82.74615]"
20127,Orissa,Khurda,,"[28.2563, 77.84562]"
20128,Orissa,Ganjam,,"[19.3882, 85.049]"
20419,Orissa,Sundargarh,Sundargarh,"[22.1198, 84.0374]"
20420,Orissa,Sundargarh,Kutra,"[22.234439849853516, 84.45306396484375]"
20422,Orissa,Sundargarh,Nuagaon,"[22.394500732421875, 84.95101928710938]"
20424,Orissa,Sundargarh,Gurundia,"[21.84998321533203, 84.78153991699219]"
20427,Orissa,Sundargarh,Himgir,"[21.94806, 83.70129]"
20430,Orissa,Sundargarh,Rajgangpur,"[22.18630027770996, 84.58399963378906]"
20431,Orissa,Sundargarh,Bisra,"[22.24720573425293, 85.00052642822266]"
20434,Orissa,Sundargarh,Lahunipada,"[21.88382339477539, 84.93895721435547]"
20436,Orissa,Sonepur,Binaka,"[20.8475, 83.894]"
20437,Orissa,Sambalpur,Kuchinda,"[21.74459, 84.35337]"
20438,Orissa,Sambalpur,Bamra,"[22.05257225036621, 84.28128814697266]"
20440,Orissa,Sambalpur,Manesar,"[21.42147, 84.03173]"
20442,Orissa,Sambalpur,Jujomura,"[21.23426, 84.14221]"
20445,Orissa,Rayagada,Rayagada,"[19.1754, 83.4109]"
20446,Orissa,Rayagada,Gunupur,"[19.0806, 83.8079]"
20448,Orissa,Puri,Puri Sadar,"[19.80616, 85.82948]"
