,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
3197,55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
3198,145762.2102,,1,,,2,145762.2102,29,,,1,0,,,,
3199,55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
3200,87747.4002,,1,,,2,87747.4002,13,,,1,0,,,,
3201,69617.77206,,1,,,2,69617.77206,8,,,1,0,,,,
3202,47862.21829,,1,,,2,47862.21829,2,,,1,0,,,,
3203,153014.0615,,1,,,2,153014.0615,31,,,1,0,,,,
3204,44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
3205,44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
3206,80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
3207,51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
3208,58739.99518,,1,,,2,58739.99518,5,,,1,0,,,,
3209,47862.21829,,1,,,2,47862.21829,2,,,1,0,,,,
3210,44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
3211,44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
3212,120380.7309,,1,,,2,120380.7309,22,,,1,0,,,,
3213,80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
3214,51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
3215,58739.99518,,1,,,2,58739.99518,5,,,1,0,,,,
3216,76869.62332,,1,,,2,76869.62332,10,,,1,0,,,,
3217,182021.4665,,1,,,2,182021.4665,39,,,1,0,,,,
3218,80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
3219,55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
3220,55114.06955,,1,,,2,55114.06955,4,,,38,12,0,0,,25
3221,80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
3222,55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
3223,65991.84643,,1,,,2,65991.84643,7,,,1,0,,,,
3224,863695.4846,,1,,,2,863695.4846,227,,,1,0,,,,
3225,91373.32583,,1,,,2,91373.32583,14,,,1,0,,,,
3226,171143.6896,,1,,,2,171143.6896,36,,,1,0,,,,
3227,109502.954,,1,,,2,109502.954,19,,,1,0,,,,
3228,69617.77206,,1,,,2,69617.77206,8,,,1,0,,,,
3229,138510.359,,1,,,2,138510.359,27,,,1,0,,,,
3230,98625.17708,,1,,,2,98625.17708,16,,,1,0,,,,
3231,127632.5821,,1,,,2,127632.5821,24,,,1,0,,,,
3232,65991.84643,,1,,,2,65991.84643,7,,,21,6,0,0,,65
3233,23931.10915,,1,,,1,23931.10915,1,,,20,6,0,0,,59
3234,67442.21668,,1,,,1,67442.21668,13,,,1,0,,,,
3235,23931.10915,,1,,,1,23931.10915,1,,,25,10,0,0,,23
3236,31182.9604,,1,,,1,31182.9604,3,,,24,8,0,0,,11
3237,23931.10915,,1,,,1,23931.10915,1,,,23,6,0,0,,19
3238,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3239,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3240,31182.9604,,1,,,1,31182.9604,3,,,27,9,0,0,,7
3241,34808.88603,,1,,,1,34808.88603,4,,,1,0,,,,
3242,42060.73729,,1,,,1,42060.73729,6,,,1,0,,,,
3243,89197.77045,,1,,,1,89197.77045,19,,,1,0,,,,
3244,56564.4398,,1,,,1,56564.4398,10,,,1,0,,,,
3245,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3246,27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
3247,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3248,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3249,42060.73729,,1,,,1,42060.73729,6,,,1,0,,,,
3250,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3251,38434.81166,,1,,,1,38434.81166,5,,,1,0,,,,
3252,56564.4398,,1,,,1,56564.4398,10,,,1,0,,,,
3253,121831.1011,,1,,,1,121831.1011,28,,,1,0,,,,
3254,212479.2418,,1,,,1,212479.2418,53,,,1,0,,,,
3255,85571.84482,,1,,,1,85571.84482,18,,,1,0,,,,
3256,56564.4398,,1,,,1,56564.4398,10,,,1,0,,,,
3257,110953.3242,,1,,,1,110953.3242,25,,,1,0,,,,
3258,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3259,74694.06794,,1,,,1,74694.06794,15,,,1,0,,,,
3260,89197.77045,,1,,,1,89197.77045,19,,,1,0,,,,
3261,52938.51417,,1,,,1,52938.51417,9,,,1,0,,,,
3262,27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
3263,31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
3264,31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
3265,132708.878,,1,,,1,132708.878,31,,,1,0,,,,
3266,27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
3267,81945.91919,,1,,,1,81945.91919,17,,,1,0,,,,
3268,34808.88603,,1,,,1,34808.88603,4,,,1,0,,,,
3269,31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
3270,27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
3271,38434.81166,,1,,,1,38434.81166,5,,,1,0,,,,
3272,31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
3273,52938.51417,,1,,,1,52938.51417,9,,,1,0,,,,
3274,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3275,110953.3242,,1,,,1,110953.3242,25,,,1,0,,,,
3276,274119.9775,,1,,,1,274119.9775,70,,,1,0,,,,
3277,52938.51417,,1,,,1,52938.51417,9,,,1,0,,,,
3278,60190.36543,,1,,,1,60190.36543,11,,,1,0,,,,
3279,34808.88603,,1,,,1,34808.88603,4,,,1,0,,,,
3280,194349.6137,,1,,,1,194349.6137,48,,,1,0,,,,
3281,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3282,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3283,27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
3284,31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
3285,27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
3286,23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
3287,52938.51417,,1,,,1,52938.51417,9,,,1,0,,,,
3288,38434.81166,,1,,,1,38434.81166,5,,,1,0,,,,
3289,27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
3290,63816.29105,,1,,,1,63816.29105,12,,,1,0,,,,
