economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
82671.10432,,1,,,3,82671.10432,6,,,1,0,,,,
240761.4617,,1,,,9,240761.4617,16,,,1,0,,,,
153014.0615,,1,,,7,153014.0615,3,,,1,0,,,,
471370.3317,,1,,,5,471370.3317,102,,,1,0,,,,
184197.0219,,1,,,8,184197.0219,6,,,1,0,,,,
424958.4836,,1,,,17,424958.4836,22,,,1,0,,,,
1000755.473,,1,,,40,1000755.473,52,,,1,0,,,,
620033.2824,,1,,,25,620033.2824,31,,,1,0,,,,
110228.1391,,1,,,4,110228.1391,8,,,1,0,,,,
223357.0187,,1,,,6,223357.0187,28,,,1,0,,,,
100800.7325,,1,,,3,100800.7325,11,,,1,0,,,,
221181.4633,,1,,,10,221181.4633,5,,,1,0,,,,
183471.8368,,1,,,6,183471.8368,17,,,1,0,,,,
156639.9871,,1,,,7,156639.9871,4,,,1,0,,,,
224807.3889,,1,,,10,224807.3889,6,,,1,0,,,,
518507.3648,,1,,,10,518507.3648,87,,,1,0,,,,
456141.444,,1,,,18,456141.444,25,,,1,0,,,,
108777.7688,,1,,,5,108777.7688,2,,,1,0,,,,
492400.7003,,1,,,18,492400.7003,35,,,1,0,,,,
327783.6768,,1,,,9,327783.6768,40,,,1,0,,,,
865145.8549,,1,,,11,865145.8549,177,,,1,0,,,,
108777.7688,,1,,,5,108777.7688,2,,,1,0,,,,
172594.0599,,1,,,6,172594.0599,14,,,1,0,,,,
75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
857168.8185,,1,,,39,857168.8185,18,,,1,0,,,,
1103731.761,,1,,,39,1103731.761,86,,,1,0,,,,
93548.8812,,1,,,3,93548.8812,9,,,1,0,,,,
113854.0647,,1,,,4,113854.0647,9,,,1,0,,,,
75419.25306,,1,,,3,75419.25306,4,,,1,0,,,,
254539.9791,,1,,,7,254539.9791,31,,,1,0,,,,
279921.4585,,1,,,12,279921.4585,10,,,1,0,,,,
484423.6639,,1,,,11,484423.6639,72,,,1,0,,,,
292974.7908,,1,,,13,292974.7908,8,,,1,0,,,,
201601.4649,,1,,,6,201601.4649,22,,,1,0,,,,
97174.80683,,1,,,3,97174.80683,10,,,1,0,,,,
226257.7592,,1,,,9,226257.7592,12,,,1,0,,,,
286448.1246,,1,,,10,286448.1246,23,,,1,0,,,,
99350.36221,,1,,,4,99350.36221,5,,,1,0,,,,
86297.02995,,1,,,3,86297.02995,7,,,1,0,,,,
173319.245,,1,,,8,173319.245,3,,,1,0,,,,
1103731.761,,1,,,39,1103731.761,86,,,1,0,,,,
2659979.041,,1,,,81,2659979.041,280,,,1,0,,,,
223357.0187,,1,,,6,223357.0187,28,,,1,0,,,,
1806436.148,,1,,,32,1806436.148,319,,,1,0,,,,
108052.5837,,1,,,3,108052.5837,13,,,1,0,,,,
2541773.865,,1,,,85,2541773.865,225,,,1,0,,,,
253814.794,,1,,,10,253814.794,14,,,1,0,,,,
119655.5457,,1,,,5,119655.5457,5,,,69,12,0,0,,3
419882.1877,,1,,,8,419882.1877,71,,,1,0,,,,
44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
44236.29266,,1,,,2,44236.29266,1,,,50,26,0,0,,11
51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
247288.1278,,1,,,2,247288.1278,57,,,1,0,,,,
91373.32583,,1,,,2,91373.32583,14,,,1,0,,,,
51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
58739.99518,,1,,,2,58739.99518,5,,,1,0,,,,
84121.47457,,1,,,2,84121.47457,12,,,1,0,,,,
51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
47862.21829,,1,,,2,47862.21829,2,,,1,0,,,,
51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
69617.77206,,1,,,2,69617.77206,8,,,1,0,,,,
73243.69769,,1,,,2,73243.69769,9,,,1,0,,,,
44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
153014.0615,,1,,,2,153014.0615,31,,,1,0,,,,
44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
145762.2102,,1,,,2,145762.2102,29,,,1,0,,,,
55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
87747.4002,,1,,,2,87747.4002,13,,,1,0,,,,
69617.77206,,1,,,2,69617.77206,8,,,1,0,,,,
47862.21829,,1,,,2,47862.21829,2,,,1,0,,,,
153014.0615,,1,,,2,153014.0615,31,,,1,0,,,,
44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
58739.99518,,1,,,2,58739.99518,5,,,1,0,,,,
47862.21829,,1,,,2,47862.21829,2,,,1,0,,,,
44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
44236.29266,,1,,,2,44236.29266,1,,,1,0,,,,
120380.7309,,1,,,2,120380.7309,22,,,1,0,,,,
80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
51488.14392,,1,,,2,51488.14392,3,,,1,0,,,,
58739.99518,,1,,,2,58739.99518,5,,,1,0,,,,
76869.62332,,1,,,2,76869.62332,10,,,1,0,,,,
182021.4665,,1,,,2,182021.4665,39,,,1,0,,,,
80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
80495.54894,,1,,,2,80495.54894,11,,,1,0,,,,
55114.06955,,1,,,2,55114.06955,4,,,1,0,,,,
65991.84643,,1,,,2,65991.84643,7,,,1,0,,,,
863695.4846,,1,,,2,863695.4846,227,,,1,0,,,,
